Artist Name,Track Name,Popularity,unique_songs
James,Laid,66,Laid James
grandson,In Over My Head,60,In Over My Head grandson
Foals,On The Luna,51,On The Luna Foals
Longpigs,She Said,47,She Said Longpigs
Beastie Boys,Sure Shot,57,Sure Shot Beastie Boys
Castaways,"Liar, Liar",40,"Liar, Liar Castaways"
Justin Townes Earle,Ain’t Got No Money,57,Ain’t Got No Money Justin Townes Earle
Parquet Courts,Human Performance,47,Human Performance Parquet Courts
The Replacements,I Will Dare,47,I Will Dare The Replacements
Mourn,Fun at the Geysers,25,Fun at the Geysers Mourn
Brent Cobb,Soapbox,46,Soapbox Brent Cobb
Nation of Language,The Wall & I,46,The Wall & I Nation of Language
The Breeders,Cannonball,66,Cannonball The Breeders
The Big Moon,Your Light,54,Your Light The Big Moon
Kasabian,Club Foot,54,Club Foot Kasabian
Waxahatchee,Lilacs,52,Lilacs Waxahatchee
Sports Team,Happy (God’s Own Country),49,Happy (God’s Own Country) Sports Team
The Clash,London Calling - Remastered,73,London Calling - Remastered The Clash
Pom Pom Squad,Head Cheerleader,44,Head Cheerleader Pom Pom Squad
Island Apollo,Hold It Down,40,Hold It Down Island Apollo
Dinosaur Jr.,Start Choppin',53,Start Choppin' Dinosaur Jr.
The Black Keys,Crawling Kingsnake - Edit,56,Crawling Kingsnake - Edit The Black Keys
Para One,Dudun-Dun - Boys Noize Remix,14,Dudun-Dun - Boys Noize Remix Para One
Benny Sings,Sunny Afternoon,51,Sunny Afternoon Benny Sings
The Hives,Hate To Say I Told You So,68,Hate To Say I Told You So The Hives
The Wannadies,Hit,27,Hit The Wannadies
Wanda Jackson,Funnel Of Love,53,Funnel Of Love Wanda Jackson
Pale Seas,Someday,35,Someday Pale Seas
Anne Müller,Drifting Circles,36,Drifting Circles Anne Müller
Lala Lala,Destroyer,47,Destroyer Lala Lala
The Strokes,Someday,67,Someday The Strokes
Bomba Estéreo,Deja,56,Deja Bomba Estéreo
Maja Lena,Avalanche,49,Avalanche Maja Lena
The Raconteurs,"Steady, As She Goes",66,"Steady, As She Goes The Raconteurs"
The White Stripes,Icky Thump,68,Icky Thump The White Stripes
The Blues Magoos,(We Ain't Got) Nothin' Yet,38,(We Ain't Got) Nothin' Yet The Blues Magoos
Japandroids,North East South West,37,North East South West Japandroids
girlhouse,loaded gun,35,loaded gun girlhouse
IRONTOM,Call Me the West (with The Dead Deads),38,Call Me the West (with The Dead Deads) IRONTOM
The Rapture,How Deep Is Your Love?,52,How Deep Is Your Love? The Rapture
Haley Heynderickx,Francis,40,Francis Haley Heynderickx
